auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,7.0,"It is a stout of Irish origin. In her flavors of chocolate and nuts in paladar are discovered, with a licoroso and placentero post-taste. He is very corpulenta, of foam cremosa and incredibly easy to take because it has less carbon dioxide gas than the traditional beers.",35,https://untappd.akamaized.net/site/beer_logos/beer-12380_e1de0_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-12380_db68c_hd.jpeg,Cream Stout,cerveceria-antares-cream-stout,Stout - Milk / Sweet,12380,3343,https://untappd.akamaized.net/site/brewery_logos/brewery-3343_21eae.jpeg,Cervecer?a Antares,cerveceria-antares,Micro Brewery,https://www.facebook.com/CerveceriaAntaresOficial,,http://www.cervezaantares.com/,Argentina,Mar del Plata,Buenos Aires,-38.0136,-57.5854,"Thu, 02 Dec 2010 11:15:16 +0000",0,1,,,,387,3.56977,,20,492,445,0,,,,,,,0.0,[],3.60558,False
0,5.7,"The Original Hemp Ale: Humboldt Brown Ale is brewed with toasted hemp seeds that add a unique, herb-accented flavor. But we didn?t stop there- the American hops create a perfect balance to the darker malts in this brew.",32,https://untappd.akamaized.net/site/beer_logos/beer-13947_e95e8_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-13947_cc4bf_hd.jpeg,Humboldt Brown Hemp Ale,humboldt-brewing-company-humboldt-brown-hemp-ale,Brown Ale - American,13947,65523,https://untappd.akamaized.net/site/brewery_logos/brewery-nectarales_65523.jpeg,Humboldt Brewing Company,humboldt-brewing-company,Micro Brewery,https://www.facebook.com/HumboldtBrewingCo,HumboldtBrewing,http://humboldtbrewingco.com,United States,Paso Robles,CA,35.5954,-120.695,"Fri, 10 Dec 2010 16:09:58 +0000",0,1,13947.0,"Thu, 01 Jan 1970 00:00:00 +0000",12381.0,23180,3.47788,,394,30104,26220,0,,,,,,,0.0,[],3.48013,False
0,10.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-12382_c7431_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-12382_25ffe_hd.jpeg,Barleywine,cerveceria-antares-barleywine,Barleywine - American,12382,3343,https://untappd.akamaized.net/site/brewery_logos/brewery-3343_21eae.jpeg,Cervecer?a Antares,cerveceria-antares,Micro Brewery,https://www.facebook.com/CerveceriaAntaresOficial,,http://www.cervezaantares.com/,Argentina,Mar del Plata,Buenos Aires,-38.0136,-57.5854,"Thu, 02 Dec 2010 11:16:48 +0000",0,1,,,,1008,3.57168,,28,1313,1142,0,,,,,,,0.0,[],3.59012,False
0,8.5,,0,https://untappd.akamaized.net/site/beer_logos/beer-12383_fc723_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-12383_9e73c_hd.jpeg,Imperial Stout,cerveceria-antares-imperial-stout,Stout - Imperial / Double,12383,3343,https://untappd.akamaized.net/site/brewery_logos/brewery-3343_21eae.jpeg,Cervecer?a Antares,cerveceria-antares,Micro Brewery,https://www.facebook.com/CerveceriaAntaresOficial,,http://www.cervezaantares.com/,Argentina,Mar del Plata,Buenos Aires,-38.0136,-57.5854,"Thu, 02 Dec 2010 11:18:28 +0000",0,1,,,,927,3.59169,,27,1216,1075,0,,,,,,,0.0,[],3.60638,False
0,3.9,"NOLA Brown Ale was one of our first two flagship ales. This brewery favorite is a light-bodied, full flavored English dark mild ale with notes of chocolate, coffee, caramel and nuts. High malt flavor and low hops, this is a great session beer with a 3.9% ABV and smooth finish. ",0,https://untappd.akamaized.net/site/beer_logos/beer-BrownAle_12384.jpeg,,NOLA Brown,nola-brewing-nola-brown,English Mild Ale,12384,1547,https://untappd.akamaized.net/site/brewery_logos/brewery-NolaBrewing_1547.jpeg,NOLA Brewing,nola-brewing,Micro Brewery,http://www.facebook.com/nolabrewing,nolabrewing,http://www.nolabrewing.com/,United States,New Orleans,LA,29.92,-90.0814,"Thu, 02 Dec 2010 11:18:43 +0000",0,1,,,,4666,3.37639,,86,6717,5394,0,,,,,,,0.0,[],3.39329,False
0,5.0,"Woodchuck? Summer Hard Cider slightly tart with a full, robust flavor followed by a rich taste reminiscent of New England blueberries. Naturally gluten-free this cider is available during the summer in both six-pack and on draft.",0,https://untappd.akamaized.net/site/beer_logos/beer-12385_9b407_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-12385_7224c_hd.jpeg,Woodchuck Seasonal Summer Time,woodchuck-cidery-woodchuck-seasonal-summer-time,Cider,12385,611,https://untappd.akamaized.net/site/brewery_logos/brewery-611_068bd.jpeg,Woodchuck Cidery,woodchuck-cidery,Cidery / Meadery,http://www.facebook.com/WoodchuckCider,WoodchuckCider,http://www.woodchuck.com/,United States,Middlebury,VT,44.0358,-73.1662,"Thu, 02 Dec 2010 11:20:27 +0000",0,1,,,,15531,3.5387,,80,24545,17999,0,,,,,,,0.0,[],3.54086,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Lost Reindeer,big-horn-brewery-ram-restaurant-brewery-c-b-potts-lost-reindeer,Winter Ale,12386,7444,https://untappd.akamaized.net/site/brewery_logos/brewery-bighornbreweryramrestaurantbrewerycbpotts_7444.jpeg,RAM Restaurant & Brewery / C.B. & Potts,ram-restaurant-brewery-c-b-potts,Micro Brewery,http://www.facebook.com/theramrestaurant,theRAM,http://www.theram.com,United States,Lakewood,WA,-30.8102,121.536,"Thu, 02 Dec 2010 11:21:57 +0000",0,1,,,,80,3.40937,,0,115,91,0,,,,,,,0.0,[],3.59529,False
0,5.0,"Aroma: The nose is fairly typical pale lager, grainy, some lemon notes, grass, and a little bread 
Appearance: This one pour a clear golden-yellow color with a fizzy head on top of it 
Flavor: The flavor is much the same, clean, with a little sweetness, and a mild bitterness 
Palate: The body is light, but not as watery as some of the style, with a lively-to-fizzy carbonation ",0,https://untappd.akamaized.net/site/beer_logos/beer-12387_eeae0_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-12387_f6195_hd.jpeg,Aris,olympic-brewery-aris,Lager - Pale,12387,3539,https://untappd.akamaized.net/site/brewery_logos/brewery-3539_8c87b.jpeg,Olympic Brewery,olympic-brewery,Micro Brewery,https://www.facebook.com/FixHellasBeer?fref=ts,,http://www.olympicbrewery.gr,Greece,???????,34100,38.4082,23.53,"Thu, 02 Dec 2010 11:23:24 +0000",0,1,,,,2058,2.97,,33,2523,2388,0,,,,,,,0.0,[],3.05813,False
0,12.0,Smiske Winter brewed with coriander and aged in calvados barrels.,0,https://untappd.akamaized.net/site/beer_logos/beer-_12388_becc3c85c91e30261dd090ad0c20.jpeg,,'t Smisje Calva Reserva,brouwerij-smisje-t-smisje-calva-reserva,Winter Ale,12388,278,https://untappd.akamaized.net/site/brewery_logos/brewery-BrouwerijSmisje_278.jpeg,Brouwerij Smisje,brouwerij-smisje,Micro Brewery,,,www.smisje.be,Belgium,Mater,Oost-Vlaanderen,50.8446,3.66185,"Thu, 02 Dec 2010 11:31:09 +0000",0,1,,,,743,3.88055,,4,972,881,0,,,,,,,0.0,[],3.8135,False
0,14.0,"A sweet mead made with whole cinnamon sticks, vanilla beans and aged on American oak. Each vanilla bean is sliced open by hand before being adding to the mead to ensure maximum flavor extraction.",0,https://untappd.akamaized.net/site/beer_logos/beer-12389_2a300_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-12389_461db_hd.jpeg,Vanilla Cinnamon,b-nektar-meadery-vanilla-cinnamon,Mead,12389,3344,https://untappd.akamaized.net/site/brewery_logos/brewery-3344_af205.jpeg,B. Nektar Meadery,b-nektar-meadery,Cidery / Meadery,http://www.facebook.com/b.nektar,bnektar,http://www.bnektar.com/,United States,Ferndale,MI,42.4571,-83.1137,"Thu, 02 Dec 2010 11:32:20 +0000",0,1,,,,706,3.42847,,0,1002,894,0,,,,,,,0.0,[],3.49453,False
