auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,8.0,"It is through the movement of the universe that life presents itself in transformation. It is in this spirit that we make ??berSun, a tribute to the dynamic energy of summer. The alignment of wheat and barley through this hop-infused brew embodies the solar system itself... This may be a difficult task, but one our brewers revel in! They brew a galaxy of taste into every batch. ??berSun is the ultimate experience that will challenge you with each sip. ??berSun Imperial Summer Wheat Beer takes off where our Hop Sun finishes. Like it???s little brother, ??berSun is clean and full of flavor, but don???t pull an Icarus??? this is one big beer! Pour a glass or drink straight from the bottle, it???s meant to be consumed wisely with friends between summer solstice and autumnal equniox.",0,https://untappd.akamaized.net/site/beer_logos/beer-southernTierUberSun.jpg,,?berSun,southern-tier-brewing-company-ubersun,Pale Wheat Ale - American,5447,4586,https://untappd.akamaized.net/site/brewery_logos/brewery-4586_47eba.jpeg,Southern Tier Brewing Company,southern-tier-brewing-company,Micro Brewery,http://www.facebook.com/SouthernTierBrewingCompany,stbcbeer,http://www.stbcbeer.com/,United States,Lakewood,NY,42.0889,-79.3482,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,61,3.55328,1,97,90,0,,,,,,0.0,[],3.63457,False
0,5.8,"Pour 422 Pale Wheat Ale into a pint glass, give it a long whiff and you'll realize that this isn't your average pale golden wheat. Preserved in its unfiltered state, 422 is a fantastic session ale in which flavors of wheat, barley and hops commingle to a refreshing and zesty conclusion. Hints of orange and sweet malts waft to the fore as a touch of bitterness contributes to a smooth finish. 422 is brewed as a tribute to preserving our precious planet and it???s environment. It is responsibly packaged with over 80% recycled consumer products and is completely recyclable. Enjoy 422 all year as to take one stride closer to a eco-friendly life.",22,https://untappd.akamaized.net/site/beer_logos/beer-southernTier422Pale.jpg,,422 Pale Wheat Ale,southern-tier-brewing-company-422-pale-wheat-ale,Pale Wheat Ale - American,5448,4586,https://untappd.akamaized.net/site/brewery_logos/brewery-4586_47eba.jpeg,Southern Tier Brewing Company,southern-tier-brewing-company,Micro Brewery,http://www.facebook.com/SouthernTierBrewingCompany,stbcbeer,http://www.stbcbeer.com/,United States,Lakewood,NY,42.0889,-79.3482,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,7061,3.30796,1,10888,8416,0,,,,,,0.0,[],3.3222,False
0,8.5,,20,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Holy Mackerel Special Golden Ale,holy-mackerel-brewing-holy-mackerel-special-golden-ale,Belgian Strong Golden Ale,5449,587,https://untappd.akamaized.net/site/brewery_logos/brewery-587_d28c0.jpeg,Holy Mackerel Small Batch Beers,holy-mackerel-small-batch-beers,Micro Brewery,http://www.facebook.com/holymackerelbeers,HolyMackbeers,http://www.holymackerelbeers.com,United States,Pompano Beach,FL,26.2706,-80.1552,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,3413,3.45122,50,4346,3893,0,,,,,,5.0,"[{'beer': {'bid': 31897, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'holy-mackerel-brewing-holy-mackerel-special-golden-ale-2009', 'beer_name': 'Holy Mackerel Special Golden Ale (2009)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 129029, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_129029_sm_96b1529ddb79df6f895a7bdd2a8b70.jpeg', 'beer_slug': 'holy-mackerel-brewing-holy-mackerel-special-golden-ale-2012', 'beer_name': 'Holy Mackerel Special Golden Ale (2012)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 168765, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'holy-mackerel-brewing-holy-mackerel-special-golden-ale-2011', 'beer_name': 'Holy Mackerel Special Golden Ale (2011)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 367879, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'holy-mackerel-brewing-holy-mackerel-special-golden-ale-2013', 'beer_name': 'Holy Mackerel Special Golden Ale (2013)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 394144, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'holy-mackerel-brewing-holy-mackerel-special-golden-ale-2008', 'beer_name': 'Holy Mackerel Special Golden Ale (2008)', 'is_vintage': 1, 'is_variant': 0}}]",3.46764,False
0,8.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-_5450_sm_e4a56181adb6f9ac98d358cdcde243.jpeg,,Holy Mackerel Mack In Black,holy-mackerel-brewing-holy-mackerel-mack-in-black,Belgian Strong Dark Ale,5450,587,https://untappd.akamaized.net/site/brewery_logos/brewery-587_d28c0.jpeg,Holy Mackerel Small Batch Beers,holy-mackerel-small-batch-beers,Micro Brewery,http://www.facebook.com/holymackerelbeers,HolyMackbeers,http://www.holymackerelbeers.com,United States,Pompano Beach,FL,26.2706,-80.1552,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,1090,3.44128,27,1473,1301,0,,,,,,4.0,"[{'beer': {'bid': 31878, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'holy-mackerel-brewing-mack-in-black-2009', 'beer_name': 'Mack in Black (2009)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 137733, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'holy-mackerel-brewing-mack-in-black-2008', 'beer_name': 'Mack In Black (2008)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 262581, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'holy-mackerel-brewing-mack-in-black-2011', 'beer_name': 'Mack In Black (2011)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 296302, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'holy-mackerel-brewing-mack-in-black-2012', 'beer_name': 'Mack In Black (2012)', 'is_vintage': 1, 'is_variant': 0}}]",3.48722,False
0,3.5,,0,https://untappd.akamaized.net/site/beer_logos/beer-HuckleberryAle_5451.jpeg,,Huckleberry Ale,coeur-d-alene-brewing-company-huckleberry-ale,Fruit Beer,5451,391,https://untappd.akamaized.net/site/brewery_logos/brewery-CoeurdAleneBrewingCompany_391.jpeg,Coeur d'Alene Brewing Company,coeur-d-alene-brewing-company,Micro Brewery,,,,United States,Coeur d'Alene,ID,47.6744,-116.784,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,45,3.72778,2,57,52,0,,,,,,0.0,[],3.66055,False
0,4.5,"Sea Dog Raspberry Wheat Ale is a dry, crisp refreshing ale with the added essence of raspberries.",0,https://untappd.akamaized.net/site/beer_logos/beer-SeaDogRaspberryWheatAle_5452.jpeg,,Raspberry Wheat Ale,sea-dog-brewing-company-raspberry-wheat-ale,Fruit Beer,5452,1125,https://untappd.akamaized.net/site/brewery_logos/brewery-SeaDogBrewingCompany_1125.jpeg,Sea Dog Brewing Company,sea-dog-brewing-company,Micro Brewery,http://www.facebook.com/SeaDogBrewing,seadogbrewing,http://www.seadogbrewing.com/,United States,Portland,ME,43.6621,-70.2485,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,8926,3.27946,119,11516,10251,0,,,,,,0.0,[],3.29177,False
0,4.5,"Wacko is the liquid song of summer: Crisp like the morning, cool like the evening and quenching all day long. Pop the top and set your summer loose. Wacko is a delicious summer beer with a big malty aroma, a subdued hop bite and a clean, slightly sweet finish.",0,https://untappd.akamaized.net/site/beer_logos/beer-5453_1ec4c_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5453_75921_hd.jpeg,Wacko,magic-hat-brewing-company-wacko,Fruit Beer,5453,812,https://untappd.akamaized.net/site/brewery_logos/brewery-812_78347.jpeg,Magic Hat Brewing Company,magic-hat-brewing-company,Micro Brewery,http://facebook.com/magichatbrewing,magichat,http://www.magichat.net/,United States,South Burlington,VT,44.429,-73.2135,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,,,,1565,3.05144,3,3217,2526,0,,,,,,0.0,[],3.14946,False
0,11.6,"Brooklyn Black Ops does not exist. However, if it
did exist, it would be a strong 11.6% ABV stout
concocted by the Brooklyn brewing team under
cover of secrecy and hidden from everyone else at the
brewery. The myth is that this supposed ?Black Ops?
was then aged for four months in bourbon barrels,
bottled flat, and re-fermented with Champagne yeast.
Presumably such a beer would raise a rich, fluffy
dark brown head and it would combine chocolate
and coffee flavors with a rich underpinning of
vanilla-like bourbon notes.",0,https://untappd.akamaized.net/site/beer_logos/beer-BlackOps2009_15586.jpeg,,Black Ops (2009),brooklyn-brewery-black-ops-2009,Stout - Russian Imperial,15586,259,https://untappd.akamaized.net/site/brewery_logos/brewery-BrooklynBrewery_259.jpeg,Brooklyn Brewery,brooklyn-brewery,Micro Brewery,https://www.facebook.com/thebrooklynbrewery,brooklynbrewery,http://brooklynbrewery.com,United States,Brooklyn,NY,40.7215,-73.9575,"Sun, 19 Dec 2010 08:11:12 +0000",0,0,15586.0,"Thu, 01 Jan 1970 00:00:00 +0000",5454.0,555,4.25,0,783,729,0,10.5,Black Ops,brooklyn-brewery-black-ops,28809.0,41.0,,,4.03652,False
0,5.5,"ESB was launched into the Fuller's family in 1971, as a winter brew to replace a beer named Old Burton Extra. 
ESB is a strong, full-bodied, mahogany-coloured ale with a mellow bitterness and satisfying finish. Brewed with Pale Ale and Crystal malts, this brew has been nicknamed The Champion Ale after winning the World Champion Beer award on two occasions.

Cask: 5.5% ABV
Bottles, Kegs: 5.9% ABV",40,https://untappd.akamaized.net/site/beer_logos/beer-5455_4524a_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5455_418d5_hd.jpeg,ESB,fuller-smith-turner-esb,Extra Special / Strong Bitter,5455,3296,https://untappd.akamaized.net/site/brewery_logos/brewery-3296_73351.jpeg,"Fuller, Smith & Turner ",fuller-smith-turner,Micro Brewery,https://www.facebook.com/FullersBrewery,Fullers,http://www.fullers.co.uk/,England,London,,51.4881,-0.249709,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,67748,3.57009,1546,106973,75803,0,,,,,,0.0,[],3.57045,False
0,5.5,"Our Oktoberfest is a traditional Bavarian M?rzen with a toasty malt aroma and slight caramel taste.  This rich, amber lager is balanced by the use of German noble hops, while the lager yeast ferments cold and slow, creating a smooth, crisp beer.",25,https://untappd.akamaized.net/site/beer_logos/beer-5456_5484b_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5456_63b3a_hd.jpeg,Oktoberfest,schlafly-the-saint-louis-brewery-oktoberfest,M?rzen,5456,1092,https://untappd.akamaized.net/site/brewery_logos/brewery-schlaflybeerthesaintlouisbrewery_1092.jpeg,Schlafly - The Saint Louis Brewery,schlafly-the-saint-louis-brewery,Micro Brewery,http://www.facebook.com/schlaflybeer,schlafly,http://www.schlafly.com,United States,Saint Louis,MO,38.633,-90.2098,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,,,,15324,3.56736,26,25600,17384,0,,,,,,0.0,[],3.569,False
