auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Jen's Fruity Wheat,jen-s-microbreweries-jen-s-fruity-wheat,Witbier,8221,2181,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Jen's microbreweries,jen-s-microbreweries,Micro Brewery,,,,Indonesia,,,0.0,0.0,,,"Tue, 09 Nov 2010 16:11:43 +0000",0,1,,,,0,0.0,,1,3,3,0,,,,,,,0.0,[],3.65057,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Jen's 2010 Special,jen-s-microbreweries-jen-s-2010-special,Schwarzbier,8222,2181,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Jen's microbreweries,jen-s-microbreweries,Micro Brewery,,,,Indonesia,,,0.0,0.0,,,"Tue, 09 Nov 2010 16:12:37 +0000",0,1,,,,0,0.0,,1,4,4,0,,,,,,,0.0,[],3.65057,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Jen's Christmas 2010 Dark Magic,jen-s-microbreweries-jen-s-christmas-2010-dark-magic,Schwarzbier,8223,2181,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Jen's microbreweries,jen-s-microbreweries,Micro Brewery,,,,Indonesia,,,0.0,0.0,,,"Tue, 09 Nov 2010 16:14:10 +0000",0,1,,,,1,0.0,,1,4,4,0,,,,,,,0.0,[],3.63864,False
0,6.3,"Cabin Fever is a well-balanced, medium-bodied ale brewed to sustain you over the long New England winter. Its rich malt profile is reminiscent of an English pale ale, while the spicy and fruity hop finish, from Tettnang hops, welcomes you back in from the cold. Copper-amber in color, this oering is available all winter long.",20,https://untappd.akamaized.net/site/beer_logos/beer-8224_a40ce_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-8224_7c119_hd.jpeg,Cabin Fever,berkshire-brewing-company-b-b-c-cabin-fever,Winter Ale,8224,1999,https://untappd.akamaized.net/site/brewery_logos/brewery-1999_13081.jpeg,Berkshire Brewing Company (B.B.C.),berkshire-brewing-company-b-b-c,Micro Brewery,https://www.facebook.com/pages/Berkshire-Brewing-Company/283586908949,BerkshireBrewCo,http://www.berkshire-brewing.com,United States,South Deerfield,MA,42.4787,-72.6094,,,"Tue, 09 Nov 2010 16:28:18 +0000",0,1,,,,6643,3.5928,,57,9463,7517,0,,,,,,,0.0,[],3.59536,False
0,7.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-CableCar_8225.jpeg,,Cable Car Ale,the-lost-abbey-cable-car-ale,Sour - American Wild Ale,8225,2712,https://untappd.akamaized.net/site/brewery_logos/brewery-2712_0b00a.jpeg,The Lost Abbey,the-lost-abbey,Micro Brewery,http://www.facebook.com/port.lostabbey,lostabbey,http://www.lostabbey.com/,United States,San Marcos,CA,33.1413,-117.15,,,"Tue, 09 Nov 2010 16:50:28 +0000",0,1,,,,2277,4.59113,,26,3124,2751,0,,,,,,,5.0,"[{'beer': {'bid': 95853, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_95853_sm_13b39f9a55163850d183cf2329e0e3.jpeg', 'beer_slug': 'the-lost-abbey-cable-car-ale-2009', 'beer_name': 'Cable Car Ale (2009)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 95855, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_95855_sm_e37e5a2238ceddea15e4b53af3c589.jpeg', 'beer_slug': 'the-lost-abbey-cable-car-ale-2010', 'beer_name': 'Cable Car Ale (2010)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 110568, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_110568_sm_2ab15d16e2ab191043a17e5495dbbb.jpeg', 'beer_slug': 'the-lost-abbey-cable-car-ale-2008', 'beer_name': 'Cable Car Ale (2008)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 144701, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_144701_sm_fe6e36f6898dc49ea1cea975eed7f0.jpeg', 'beer_slug': 'the-lost-abbey-cable-car-ale-2007', 'beer_name': 'Cable Car Ale (2007)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 259771, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_259771_sm_7f217c4cec2fe84f3d7362dd6de12c.jpeg', 'beer_slug': 'the-lost-abbey-cable-car-ale-2012', 'beer_name': 'Cable Car Ale (2012)', 'is_vintage': 1, 'is_variant': 0}}]",4.47974,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Jen's Spicy Brew,jen-s-microbreweries-jen-s-spicy-brew,Fruit Beer,8226,2181,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Jen's microbreweries,jen-s-microbreweries,Micro Brewery,,,,Indonesia,,,0.0,0.0,,,"Tue, 09 Nov 2010 17:09:37 +0000",0,1,,,,0,0.0,,1,4,3,0,,,,,,,0.0,[],3.65057,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Jen's Spicy Lite,jen-s-microbreweries-jen-s-spicy-lite,Witbier,8227,2181,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Jen's microbreweries,jen-s-microbreweries,Micro Brewery,,,,Indonesia,,,0.0,0.0,,,"Tue, 09 Nov 2010 17:10:26 +0000",0,1,,,,0,0.0,,1,6,5,0,,,,,,,0.0,[],3.65057,False
0,10.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Victory at Sea (2008),ballast-point-brewing-spirits-victory-at-sea-2008,Porter - Imperial / Double,8228,68,https://untappd.akamaized.net/site/brewery_logos/brewery-ballastpointbrewingcompany_68.jpeg,Ballast Point Brewing & Spirits,ballast-point-brewing-spirits,Macro Brewery,http://www.facebook.com/BallastPoint,bpbrewing,http://www.ballastpoint.com/,United States,San Diego,CA,32.8882,-117.158,,,"Tue, 09 Nov 2010 17:12:30 +0000",0,0,,,,71,4.30986,,2,94,89,0,,10.0,Victory at Sea,ballast-point-brewing-and-spirits-victory-at-sea,6687.0,165.0,,,3.77509,False
0,8.66,"As with any good epic, herein lies the promise of larger-than-life experiences, heroics, and twists and turns as the adventure unfolds. This bottle conditioned ale is chapter five, and is specifically designed to be aged until sometime after December 12th, 2012. Provided you can wait that long. At that time, enjoy it in a ""vertical"" tasting along with its ten Stone Vertical Epic Ale brethren. Each on unique to its year of release. Each with its own ""twist & turn"" in the plot line. Each one release one year, one month and one day from the previous year?s edition. In this year?s edition, you?ll notice a deep, rich aroma of toasty malts, anise, Belgian yeast spiciness, and a hint of cedar. The toasty, dark and roasty malt flavors combine with a soft palate - courtesy of specialty dark wheat and barley malts. The body is fairly light for a beer with such a high gravity. There is a pleasant, lingering bitterness, so you know it?s part of the Stone family. This ale was brewed with a specialty Belgian yeast that we?re really liking here at Stone...it?s the same one we used for brewing the Stone 03.03.03 Vertical Epic Ale. And as with the Stone 05.05.05 Vertical Epic Ale, all the spicy, deep, and wonderfully funky aromas and flavor characteristics in this beer come as a result of nothing more than malt, hops, water and yeast!",0,https://untappd.akamaized.net/site/beer_logos/beer-Stone060606VerticalEpicAle_19604.jpeg,,Stone 06.06.06 Vertical Epic Ale,stone-brewing-co-stone-06-06-06-vertical-epic-ale,Belgian Strong Dark Ale,19604,1204,https://untappd.akamaized.net/site/brewery_logos/brewery-1204_23541.jpeg,Stone Brewing,stone-brewing,Micro Brewery,http://www.facebook.com/StoneBrewingCo,StoneBrewingCo,http://www.stonebrewing.com/,United States,Escondido,CA,33.1157,-117.12,,,"Fri, 31 Dec 2010 13:17:02 +0000",0,0,19604.0,"Thu, 01 Jan 1970 00:00:00 +0000",8229.0,3464,3.93887,,6,4856,4313,0,,,,,,,0.0,[],3.91549,False
0,7.5,"As with any good epic, herein lies the promise of larger-than-life experiences, heroics, and twists and turns as the adventure unfolds. This bottle conditioned ale is chapter five, and is specifically designed to be aged until sometime after December 12th, 2012. Provided you can wait that long. At that time, enjoy it in a ""vertical"" tasting along with its ten Stone Vertical Epic Ale brethren. Each on unique to its year of release. Each with its own ""twist & turn"" in the plot line. Each one release one year, one month and one day from the previous year?s edition. Vertical Epic 02.02.02 was not brewed ""to style"". Instead, we tried to create something new. It's triple-ish in nature, with wit character, coriander and orange peel, and has way more hops than either a Belgian triple or a Wit would. Belgian yeast was used. Belgian Strong Ale is the closest category that fits.",0,https://untappd.akamaized.net/site/beer_logos/beer-020202VerticalEpicAle_8230.jpeg,,Stone 02.02.02 Vertical Epic Ale,stone-brewing-co-stone-02-02-02-vertical-epic-ale,Belgian Strong Golden Ale,8230,1204,https://untappd.akamaized.net/site/brewery_logos/brewery-1204_23541.jpeg,Stone Brewing,stone-brewing,Micro Brewery,http://www.facebook.com/StoneBrewingCo,StoneBrewingCo,http://www.stonebrewing.com/,United States,Escondido,CA,33.1157,-117.12,,,"Tue, 09 Nov 2010 17:31:59 +0000",0,0,,,,807,3.94919,,29,1000,953,0,,,,,,,0.0,[],3.86717,False
