auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintage_parent,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,6.0,"This sour ale was custom blended from our wild beer barrel program to celebrate the 15th Anniversary of the founding of Bear Republic Brewing Company. Rich malty notes of plum and caramel, vanilla oak undertones, and bright acidity round out this unique ale.",20,https://untappd.akamaized.net/site/beer_logos/beer-26736_ece4c_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-26736_9e3f8_hd.jpeg,15th Anniversary Blend,bear-republic-brewing-co-15th-anniversary-blend,Sour - American Wild Ale,26736,94,https://untappd.akamaized.net/site/brewery_logos/brewery-bearrepublicbrewingco_94.jpeg,Bear Republic Brewing Co.,bear-republic-brewing-co,Micro Brewery,http://www.facebook.com/bearrepublic,bearrepublic,http://www.bearrepublic.com/,United States,Healdsburg,CA,38.6111,-122.871,"Thu, 27 Jan 2011 03:14:54 +0000",0,0,,,,0,0.0,,0,5,4,0,,,,,,,,,,,,0.0,[],3.59537,False
0,7.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-_26737_sm_b69d6688d5ed04f90a41949e44cf70.jpeg,,O'Hoppy Ale,ohio-brewing-company-o-hoppy-ale,IPA - American,26737,937,https://untappd.akamaized.net/site/brewery_logos/brewery-OhioBrewing_937.jpeg,Ohio Brewing Company,ohio-brewing-company,Micro Brewery,http://www.facebook.com/OhioBrewing,OhioBrewing,http://www.ohiobrewing.com/,United States,Akron,OH,41.0731,-81.5222,"Thu, 27 Jan 2011 03:15:30 +0000",0,1,,,,862,3.27059,,19,1079,1007,0,,,,,,,,,,,,0.0,[],3.37002,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Chocolate,suds-brothers-brewery-chocolate,Porter - Other,26738,14957,https://untappd.akamaized.net/site/brewery_logos/brewery-SudsBros_14957.jpeg,Suds Brothers Brewery,suds-brothers-brewery,Micro Brewery,,,http://sudsbrothersbrewery.com,United States,Evanston,WY,41.2682,-110.966,"Thu, 27 Jan 2011 03:15:36 +0000",0,1,,,,1,0.0,,0,4,4,0,,,,,,,,,,,,0.0,[],3.59272,False
0,7.0,"Our Fall & Winter Seasonal, Gallows Point, is an Imperial Porter made with real Chocolate & Macadamia Nuts. There is nothing on the market like it, and it was recently named one of the Top 20 American Porters in the United States by BeerAdvocate.",60,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Gallows Point Deadman's Porter,skull-coast-brewing-company-gallows-point-deadman-s-porter,Porter - Other,7511,1972,https://untappd.akamaized.net/site/brewery_logos/brewery-SkullCoastBrewingCompany_1972.jpeg,Skull Coast Brewing Company,skull-coast-brewing-company,Micro Brewery,http://www.facebook.com/SkullCoast,,http://skullcoastbrewing.com,United States,Fort Mill,SC,35.0074,-80.9451,"Sat, 06 Nov 2010 06:02:40 +0000",0,1,7511.0,"Wed, 17 Jul 2013 04:50:05 +0000",26739.0,57,3.93421,,0,157,125,0,,,,,,,,,,,,0.0,[],3.67988,False
0,0.0,"Amber ale from hombrewers.com

My first homebrew.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Amber,jambrew-homebrew-amber,Red Ale - American Amber / Red,26740,7271,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Jambrew (homebrew),jambrew-homebrew,Home Brewery,,,,United States,,,0.0,0.0,"Thu, 27 Jan 2011 03:22:05 +0000",1,1,,,,1,0.0,,0,18,2,0,,,,,,,,,,,,0.0,[],2.524,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Kilt Tilter,liberty-street-brewing-company-kilt-tilter,Scotch Ale / Wee Heavy,26741,3236,https://untappd.akamaized.net/site/brewery_logos/brewery-LibertyStreetBrewingCompany_3236.jpeg,Liberty Street Brewing Company,liberty-street-brewing-company,Micro Brewery,,,libertystreetbeer.com,United States,Plymouth,MI,42.3791,-83.4612,"Thu, 27 Jan 2011 03:22:23 +0000",0,1,,,,30,3.51667,,0,36,35,0,,,,,,,,,,,,0.0,[],3.6375,False
0,5.6,"Burnside Oatmeal Pale Ale is brewed using copious amounts of Crystal, Galena, & Fuggle hop varietals. This is a clean dry Pale Ale with low bitterness and lots of hop flavor. We have chosen to add 75 pounds of locally rolled oats to increase body and give our Pale a sweet creamy finish.",44,https://untappd.akamaized.net/site/beer_logos/beer-BurnsideOatmealPaleAle_26742.jpeg,,Oatmeal Pale Ale,burnside-brewing-co-oatmeal-pale-ale,Pale Ale - American,26742,5739,https://untappd.akamaized.net/site/brewery_logos/brewery-5739_06cbe.jpeg,Burnside Brewing Co.,burnside-brewing-co,Micro Brewery,http://www.facebook.com/pages/Burnside-Brewing-Co/143765235649430,burnsidebrewco,http://burnsidebrewco.com,United States,Portland,OR,45.5233,-122.658,"Thu, 27 Jan 2011 03:22:25 +0000",0,1,,,,5341,3.50786,,28,7137,6076,0,,,,,,,,,,,,0.0,[],3.5156,False
0,7.0,"The second release in the Stag Series is August Schell's interpretation of a traditional Belgian Farmhouse Ale.  This Farmhouse Ale exhibits an earthy/nutty character due to the generous use of Minnesota Wild Rice, the State Grain of Minnesota.

The Wild Rice is combined with 2-Row, Munich, Vienna, and a touch of Rye malt to create a complementary backbone to the unique fermentation characteristics of the yeast.  Dry and thirst quenching, this Farmhouse Ale is hopped with Goldings.",0,https://untappd.akamaized.net/site/beer_logos/beer-15114_b6a68_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-15114_cdfa3_hd.jpeg,Schell's Stag Series #2 Wild Rice Farmhouse Ale,august-schell-brewing-company-schell-s-stag-series-2-wild-rice-farmhouse-ale,Saison / Farmhouse Ale,15114,4905,https://untappd.akamaized.net/site/brewery_logos/brewery-4905_3cfb7.jpeg,August Schell Brewing Company,august-schell-brewing-company,Micro Brewery,http://www.facebook.com/pages/August-Schell-Brewing-Company/47056987065,schellsbrewery,http://www.schellsbrewery.com/,United States,New Ulm,MN,44.2896,-94.449,"Fri, 17 Dec 2010 10:17:13 +0000",0,1,15114.0,"Thu, 01 Jan 1970 00:00:00 +0000",26743.0,21,3.71429,,0,105,62,0,,,,,,,,,,,,0.0,[],3.62683,False
0,10.0,"This is the famous Brooklyn Black Chocolate Stout, our award-winning rendition of the Imperial Stout style, once made exclusively for Catherine the Great. We use three mashes to brew each batch of this beer, achieving a luscious deep dark chocolate flavor through a blend of specially roasted malts. We brew it every year for the winter season. It is delicious when newly bottled, but also ages beautifully for years.",51,https://untappd.akamaized.net/site/beer_logos/beer-20923_091b9_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-20923_e7d48_hd.jpeg,Black Chocolate Stout (2009),brooklyn-brewery-black-chocolate-stout-2009,Stout - American Imperial / Double,20923,259,https://untappd.akamaized.net/site/brewery_logos/brewery-BrooklynBrewery_259.jpeg,Brooklyn Brewery,brooklyn-brewery,Micro Brewery,https://www.facebook.com/thebrooklynbrewery,brooklynbrewery,http://brooklynbrewery.com,United States,Brooklyn,NY,40.7215,-73.9575,"Tue, 04 Jan 2011 04:51:26 +0000",0,0,20923.0,"Thu, 01 Mar 2012 20:47:22 +0000",26744.0,897,3.99972,,6,1269,1125,0,,,,,,,10.0,Black Chocolate Stout,brooklyn-brewery-black-chocolate-stout,37235.0,41.0,,,3.91124,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Cannabliss,kirkale-cannabliss,Spiced / Herbed Beer,26745,3869,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Kirkale,kirkale,Home Brewery,,kirkale,,United States,,,0.0,0.0,"Thu, 27 Jan 2011 03:41:22 +0000",1,1,,,,0,0.0,,0,0,0,0,,,,,,,,,,,,0.0,[],3.786,False
